Search terms report
"January 17, 2024 - February 15, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Impr.,Interactions,Clicks,Currency code,Cost,Conversions,Campaign type
costco solar panels,Broad match,None,G_S_NB_Generic_CA,Solar Quotes/Estimates,solar panel cost estimate,1,0,0,USD,0.00,0.00,Search
cost on solar panels,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Cost,[solar panel price],1,0,0,USD,0.00,0.00,Search
whole house battery backup,Broad match,None,G_S_NB_Generic_CA,Home/Residential Solar,solar battery for house,2,1,1,USD,4.69,0.00,Search
8kw solar battery system,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panels systems""",1,0,0,USD,0.00,0.00,Search
battery for solar panel,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
solar panel for storage shed,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""best solar power""",1,0,0,USD,0.00,0.00,Search
solar roof replacement,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel roof""",3,0,0,USD,0.00,0.00,Search
tier one solar panels,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""get solar panels""",1,0,0,USD,0.00,0.00,Search
solar and powerwall,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar powar""",1,0,0,USD,0.00,0.00,Search
solar tax credit in california,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""tax incentive for solar panels""",1,0,0,USD,0.00,0.00,Search
installing solar panels,Phrase match,None,G_S_NB_Generic_CA,Solar Panels,"""solar panels""",1,0,0,USD,0.00,0.00,Search
13kw solar system cost,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar electric""",1,0,0,USD,0.00,0.00,Search
ground mounted solar panels cost,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Quotes/Estimates,"""solar estimate""",1,0,0,USD,0.00,0.00,Search
swift energy solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Companies,"""solar energy providers""",1,0,0,USD,0.00,0.00,Search
solar grants california,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel programs""",1,0,0,USD,0.00,0.00,Search
tesla solar panels calculator,Phrase match,None,G_S_NB_Generic_CA,Solar Calculator,"""solar panels calculator""",1,0,0,USD,0.00,0.00,Search
ampion solar reviews,Broad match,None,G_S_NB_Generic_CA,Solar Systems,solar power systems,1,0,0,USD,0.00,0.00,Search
solar panel cost sacramento,Broad match,None,G_S_NB_Generic_CA,Solar Cost,solar savings,1,0,0,USD,0.00,0.00,Search
24 kwh solar system,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar system price""",1,0,0,USD,0.00,0.00,Search
solaria solar panels price,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar panels cost""",1,0,0,USD,0.00,0.00,Search
sunternal reviews,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar reviews""",2,0,0,USD,0.00,0.00,Search
home solar system smart solar design,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Systems,"""solar energy power system""",1,0,0,USD,0.00,0.00,Search
tesla solar panel cost,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar pannels cost""",1,0,0,USD,0.00,0.00,Search
online solar calculator,Exact match,Added,G_S_NB_Generic_CA,Solar Calculator,[online solar calculator],2,0,0,USD,0.00,0.00,Search
san jose solar incentives,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar savings""",1,0,0,USD,0.00,0.00,Search
solar financing california,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,"""financing solar""",1,0,0,USD,0.00,0.00,Search
solapanels,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar power""",1,0,0,USD,0.00,0.00,Search
solar northern california,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar near me""",1,0,0,USD,0.00,0.00,Search
citadel roofing,Broad match,None,G_S_NB_Generic_CA,Solar - list,solar roof,1,0,0,USD,0.00,0.00,Search
what rebates are available for solar power,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar savings""",1,0,0,USD,0.00,0.00,Search
how much solar can i generate,Phrase match,None,G_S_NB_Generic_CA,Solar Cost,"""how much solar""",1,0,0,USD,0.00,0.00,Search
solar power for shed,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""solar power offers""",1,0,0,USD,0.00,0.00,Search
compra solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""get solar""",1,0,0,USD,0.00,0.00,Search
average cost of solar panels in az,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""solar panel deals""",1,0,0,USD,0.00,0.00,Search
does solar really save money,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Calculator,[how much does solar save],1,0,0,USD,0.00,0.00,Search
how much do solar panels cost for a 2000 square foot house,Broad match,None,G_S_NB_Generic_CA,Solar Incentives/Credits,solar energy programs,1,0,0,USD,0.00,0.00,Search
ppa solar program,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar programs""",9,0,0,USD,0.00,0.00,Search
cost of solar systems,Exact match (close variant),None,G_S_NB_Generic_CA,Solar Cost,[cost of solar panels],1,0,0,USD,0.00,0.00,Search
eps solar reviews,Phrase match,None,G_S_NB_Generic_CA,Solar - list,solar reviews,1,0,0,USD,0.00,0.00,Search
sonoma county solar incentives,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel programs""",1,0,0,USD,0.00,0.00,Search
1kw solar panel cost,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Cost,"""solar panels cost""",1,0,0,USD,0.00,0.00,Search
how to set up solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar oanels""",1,0,0,USD,0.00,0.00,Search
q cells solar panels,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""modern solar panels""",2,0,0,USD,0.00,0.00,Search
q cells q home,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
24kw solar system cost,Exact match,Added,G_S_NB_Generic_CA,Solar Cost,[24kw solar system cost],1,0,0,USD,0.00,0.00,Search
solar loan calculator,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Leasing/Financing,"""solar loans""",2,0,0,USD,0.00,0.00,Search
hanwha q peak duo,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
sun power solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
are solar panels cost effective,Broad match,None,G_S_NB_Generic_CA,Solar Low Cost,cheapest solar panels,1,0,0,USD,0.00,0.00,Search
roof solar,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Panels,"""solar panel roof""",1,0,0,USD,0.00,0.00,Search
va guidelines for solar panels,Broad match,None,G_S_NB_Generic_CA,Solar Calculator,how much solar do i need,1,0,0,USD,0.00,0.00,Search
what is the cost of one solar panel,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Calculator,"""solar cost estimator""",1,0,0,USD,0.00,0.00,Search
best solar panel companies,Exact match,Added,G_S_NB_Generic_CA,Solar Companies,[best solar panel companies],4,0,0,USD,0.00,0.00,Search
pros and cons of solar,Exact match (close variant),None,G_S_NB_Generic_CA,Solar - list,[solar energy pros and cons],1,0,0,USD,0.00,0.00,Search
24 panel solar system,Broad match,None,G_S_NB_Generic_CA,Solar Low Cost,affordable solar,1,0,0,USD,0.00,0.00,Search
solar panels for 700 square foot house,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Low Cost,"""affordable solar panels""",1,0,0,USD,0.00,0.00,Search
solar estimate org,Exact match,Added,G_S_NB_Generic_CA,Solar Quotes/Estimates,[solar estimate org],13,0,0,USD,0.00,0.00,Search
average monthly electric bill with solar panels,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Systems,"""solar energy system""",1,0,0,USD,0.00,0.00,Search
solar service,Phrase match,None,G_S_NB_Generic_CA,Solar - list,"""solar""",1,0,0,USD,0.00,0.00,Search
california solar incentives 2024,Phrase match (close variant),None,G_S_NB_Generic_CA,Solar Incentives/Credits,"""solar program""",2,0,0,USD,0.00,0.00,Search
